Tura,Zysk
1,-457.730274820640
2,88.2697251793607
3,-534.730274820640
4,4.26972517936073
5,32.2697251793607
6,-450.730274820640
7,-506.730274820640
8,-2.73027482063927
9,102.269725179361
10,88.2697251793607
11,32.2697251793607
12,123.269725179361
13,-443.730274820640
14,67.2697251793607
15,-387.730274820640
16,-569.730274820640
17,-604.730274820640
18,179.269725179361
19,88.2697251793607
20,-464.730274820640
21,429.668044031392
22,473.120393538735
23,476.269247795417
24,476.077947215786
25,475.597277028014
26,109.584437240417
27,462.352370422103
28,476.290640376634
29,465.517208900276
30,80.2744318023199
