Tura,Symbol,Przewidywane,Sprzedaz
1,s1,0,21
1,s2,0,16
1,s3,0,22
1,s4,0,7
2,s1,0,16
2,s2,0,22
2,s3,0,22
2,s4,0,5
3,s1,0,22
3,s2,0,20
3,s3,0,22
3,s4,0,12
4,s1,0,22
4,s2,0,14
4,s3,0,22
4,s4,0,7
5,s1,0,17
5,s2,0,22
5,s3,0,22
5,s4,0,11
6,s1,0,17
6,s2,0,19
6,s3,0,22
6,s4,0,6
7,s1,0,21
7,s2,0,19
7,s3,0,22
7,s4,0,6
8,s1,0,17
8,s2,0,22
8,s3,0,22
8,s4,0,6
9,s1,0,20
9,s2,0,22
9,s3,0,22
9,s4,0,6
10,s1,0,22
10,s2,0,17
10,s3,0,22
10,s4,0,7
11,s1,0,19
11,s2,0,14
11,s3,0,22
11,s4,0,8
12,s1,0,22
12,s2,0,22
12,s3,0,22
12,s4,0,7
13,s1,0,17
13,s2,0,16
13,s3,0,22
13,s4,0,7
14,s1,0,22
14,s2,0,19
14,s3,0,22
14,s4,0,10
15,s1,0,20
15,s2,0,22
15,s3,0,22
15,s4,0,7
16,s1,12,12
16,s2,14,14
16,s3,26,26
16,s4,5,5
17,s1,16,14
17,s2,14,14
17,s3,26,26
17,s4,7,5
18,s1,14,14
18,s2,15,15
18,s3,25,25
18,s4,5,5
19,s1,13,13
19,s2,16,16
19,s3,27,27
19,s4,4,0
20,s1,16,16
20,s2,16,14
20,s3,27,27
20,s4,5,5
21,s1,13,13
21,s2,15,15
21,s3,26,26
21,s4,6,6
22,s1,16,16
22,s2,15,15
22,s3,26,26
22,s4,6,6
